Acceleration X: -2.33, Y: 4.93, Z: -8.10 m/s^2
Acceleration X: -0.73, Y: 0.67, Z: 7.75 m/s^2
Rotation X: 0.33, Y: 0.44, Z: -0.29 rad/s

Acceleration X: -0.30, Y: 0.83, Z: 6.33 m/s^2
Rotation X: 0.83, Y: 0.99, Z: -0.19 rad/s

Acceleration X: -2.24, Y: 4.00, Z: 6.57 m/s^2
Rotation X: 1.34, Y: 1.58, Z: 0.50 rad/s

Acceleration X: -2.92, Y: 2.79, Z: 5.15 m/s^2
Rotation X: 1.79, Y: 1.78, Z: 0.47 rad/s

Acceleration X: -5.17, Y: 4.63, Z: 4.42 m/s^2
Rotation X: 1.88, Y: 2.05, Z: 0.31 rad/s

Acceleration X: -5.45, Y: 6.33, Z: 3.69 m/s^2
Rotation X: 1.77, Y: 1.96, Z: 0.17 rad/s

Acceleration X: -7.65, Y: 8.02, Z: 3.19 m/s^2
Rotation X: 1.63, Y: 1.74, Z: 0.28 rad/s

Acceleration X: -7.06, Y: 6.80, Z: 1.31 m/s^2
Rotation X: 1.49, Y: 1.36, Z: -0.49 rad/s

Acceleration X: -7.62, Y: 7.46, Z: 1.06 m/s^2
Rotation X: 1.17, Y: 1.34, Z: 0.14 rad/s

Acceleration X: -6.54, Y: 8.03, Z: 1.20 m/s^2
Rotation X: 1.18, Y: 1.43, Z: -0.50 rad/s

Acceleration X: -6.34, Y: 5.00, Z: -1.87 m/s^2
Rotation X: 1.18, Y: 1.30, Z: 0.33 rad/s

Acceleration X: -6.32, Y: 6.95, Z: -1.70 m/s^2
Rotation X: 1.22, Y: 1.45, Z: -0.20 rad/s

Acceleration X: -6.40, Y: 6.59, Z: -3.64 m/s^2
Rotation X: 1.35, Y: 1.41, Z: -0.01 rad/s

Acceleration X: -6.87, Y: 6.52, Z: -4.48 m/s^2
Rotation X: 1.16, Y: 1.50, Z: 0.08 rad/s

Acceleration X: -5.97, Y: 7.68, Z: -4.43 m/s^2
Rotation X: 1.02, Y: 1.40, Z: 0.43 rad/s

Acceleration X: -5.92, Y: 6.01, Z: -5.90 m/s^2
Rotation X: 0.95, Y: 1.00, Z: 0.51 rad/s

Acceleration X: -5.68, Y: 6.78, Z: -5.83 m/s^2
Rotation X: 0.94, Y: 0.96, Z: 0.27 rad/s

Acceleration X: -5.38, Y: 6.45, Z: -6.34 m/s^2
Rotation X: 0.72, Y: 0.82, Z: 0.39 rad/s

Acceleration X: -4.52, Y: 6.06, Z: -6.64 m/s^2
Rotation X: 0.60, Y: 0.59, Z: 0.64 rad/s

Acceleration X: -4.41, Y: 5.58, Z: -7.06 m/s^2
Rotation X: 0.48, Y: 0.48, Z: 0.38 rad/s

Acceleration X: -3.86, Y: 5.85, Z: -7.26 m/s^2
Rotation X: 0.33, Y: 0.31, Z: 0.11 rad/s

Acceleration X: -3.61, Y: 5.38, Z: -7.43 m/s^2
Rotation X: 0.25, Y: 0.24, Z: 0.27 rad/s

Acceleration X: -3.41, Y: 5.09, Z: -7.44 m/s^2
Rotation X: 0.20, Y: 0.15, Z: 0.22 rad/s

Acceleration X: -3.34, Y: 5.08, Z: -7.52 m/s^2
Rotation X: 0.14, Y: 0.20, Z: 0.02 rad/s

Acceleration X: -3.28, Y: 5.30, Z: -7.47 m/s^2
Rotation X: 0.09, Y: 0.16, Z: -0.04 rad/s

Acceleration X: -3.23, Y: 5.16, Z: -7.65 m/s^2
Rotation X: 0.05, Y: 0.13, Z: 0.08 rad/s

Acceleration X: -3.11, Y: 4.75, Z: -7.81 m/s^2
Rotation X: 0.01, Y: 0.08, Z: 0.05 rad/s

Acceleration X: -3.06, Y: 4.72, Z: -7.74 m/s^2
Rotation X: -0.02, Y: 0.08, Z: -0.11 rad/s

Acceleration X: -2.95, Y: 4.81, Z: -7.82 m/s^2
Rotation X: -0.03, Y: 0.08, Z: -0.03 rad/s

Acceleration X: -2.90, Y: 4.86, Z: -7.79 m/s^2
Rotation X: -0.03, Y: 0.04, Z: 0.00 rad/s

Acceleration X: -3.00, Y: 4.66, Z: -7.87 m/s^2
Rotation X: -0.04, Y: 0.03, Z: 0.09 rad/s

Acceleration X: -2.94, Y: 4.69, Z: -7.79 m/s^2
Rotation X: -0.05, Y: 0.02, Z: -0.07 rad/s

Acceleration X: -2.84, Y: 4.81, Z: -7.85 m/s^2
Rotation X: -0.05, Y: 0.03, Z: -0.03 rad/s

Acceleration X: -2.84, Y: 4.74, Z: -7.93 m/s^2
Rotation X: -0.05, Y: 0.00, Z: 0.05 rad/s

Acceleration X: -2.87, Y: 4.60, Z: -7.92 m/s^2
Rotation X: -0.05, Y: 0.03, Z: 0.00 rad/s

Acceleration X: -2.83, Y: 4.63, Z: -7.88 m/s^2
Rotation X: -0.04, Y: 0.04, Z: -0.07 rad/s

Acceleration X: -2.79, Y: 4.68, Z: -7.99 m/s^2
Rotation X: -0.04, Y: 0.02, Z: -0.02 rad/s

Acceleration X: -2.87, Y: 4.78, Z: -7.85 m/s^2
Rotation X: -0.03, Y: 0.04, Z: -0.01 rad/s

Acceleration X: -2.91, Y: 4.71, Z: -7.88 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.00 rad/s

Acceleration X: -3.02, Y: 4.78, Z: -7.94 m/s^2
Rotation X: -0.08, Y: -0.03, Z: 0.01 rad/s

Acceleration X: -2.89, Y: 4.54, Z: -7.96 m/s^2
Rotation X: -0.07, Y: -0.03, Z: -0.01 rad/s

Acceleration X: -2.95, Y: 4.75, Z: -7.79 m/s^2
Rotation X: -0.07, Y: -0.01, Z: -0.04 rad/s

Acceleration X: -3.00, Y: 4.90, Z: -7.86 m/s^2
Rotation X: -0.11, Y: -0.03, Z: -0.07 rad/s

Acceleration X: -3.48, Y: 5.53, Z: -7.63 m/s^2
Rotation X: -0.21, Y: -0.11, Z: -0.06 rad/s

Acceleration X: -4.56, Y: 5.87, Z: -7.87 m/s^2
Rotation X: -0.52, Y: -0.41, Z: -0.36 rad/s

Acceleration X: -5.03, Y: 6.74, Z: -7.13 m/s^2
Rotation X: -0.96, Y: -0.81, Z: -0.88 rad/s

Acceleration X: -5.80, Y: 6.62, Z: -7.26 m/s^2
Rotation X: -1.29, Y: -1.23, Z: -0.91 rad/s

Acceleration X: -6.44, Y: 7.18, Z: -6.30 m/s^2
Rotation X: -1.50, Y: -1.59, Z: -0.60 rad/s

Acceleration X: -7.10, Y: 6.99, Z: -5.66 m/s^2
Rotation X: -1.69, Y: -1.81, Z: -0.52 rad/s

Acceleration X: -7.54, Y: 6.83, Z: -5.07 m/s^2
Rotation X: -1.76, Y: -2.09, Z: -0.50 rad/s

Acceleration X: -7.53, Y: 6.26, Z: -4.18 m/s^2
Rotation X: -1.77, Y: -2.30, Z: -0.45 rad/s

Acceleration X: -7.32, Y: 6.29, Z: -2.37 m/s^2
Rotation X: -1.76, Y: -2.26, Z: -0.39 rad/s

Acceleration X: -7.25, Y: 6.17, Z: -1.03 m/s^2
Rotation X: -1.82, Y: -2.23, Z: -0.25 rad/s

Acceleration X: -7.06, Y: 5.59, Z: -0.07 m/s^2
Rotation X: -1.81, Y: -2.33, Z: -0.12 rad/s

Acceleration X: -7.01, Y: 5.46, Z: 1.83 m/s^2
Rotation X: -1.76, Y: -2.26, Z: -0.14 rad/s

Acceleration X: -5.75, Y: 4.49, Z: 3.31 m/s^2
Rotation X: -1.72, Y: -2.18, Z: 0.08 rad/s

Acceleration X: -4.95, Y: 4.04, Z: 4.20 m/s^2
Rotation X: -1.59, Y: -2.07, Z: 0.00 rad/s

Acceleration X: -3.71, Y: 3.07, Z: 5.18 m/s^2
Rotation X: -1.41, Y: -1.86, Z: 0.15 rad/s

Acceleration X: -3.32, Y: 2.60, Z: 6.12 m/s^2
Rotation X: -1.12, Y: -1.56, Z: -0.12 rad/s

Acceleration X: -2.85, Y: 2.76, Z: 6.97 m/s^2
Rotation X: -0.89, Y: -1.21, Z: 0.05 rad/s

Acceleration X: -2.25, Y: 2.16, Z: 7.42 m/s^2
Rotation X: -0.66, Y: -0.89, Z: -0.06 rad/s

Acceleration X: -2.00, Y: 2.28, Z: 8.25 m/s^2
Rotation X: -0.47, Y: -0.59, Z: -0.01 rad/s

Acceleration X: -1.97, Y: 2.08, Z: 8.47 m/s^2
Rotation X: -0.42, Y: -0.42, Z: 0.17 rad/s

Acceleration X: -2.21, Y: 2.29, Z: 8.77 m/s^2
Rotation X: -0.35, Y: -0.31, Z: 0.14 rad/s

Acceleration X: -1.87, Y: 1.90, Z: 9.01 m/s^2
Rotation X: -0.35, Y: -0.30, Z: 0.24 rad/s

Acceleration X: -1.79, Y: 1.44, Z: 8.90 m/s^2
Rotation X: -0.24, Y: -0.19, Z: 0.18 rad/s

Acceleration X: -1.72, Y: 1.75, Z: 9.07 m/s^2
Rotation X: -0.12, Y: -0.02, Z: -0.01 rad/s

Acceleration X: -1.67, Y: 1.96, Z: 8.98 m/s^2
Rotation X: -0.11, Y: 0.02, Z: -0.16 rad/s

Acceleration X: -1.56, Y: 2.00, Z: 9.03 m/s^2
Rotation X: -0.07, Y: 0.05, Z: -0.01 rad/s

Acceleration X: -1.93, Y: 1.61, Z: 9.07 m/s^2
Rotation X: 0.01, Y: 0.09, Z: -0.04 rad/s

Acceleration X: -1.86, Y: 2.14, Z: 9.14 m/s^2
Rotation X: 0.05, Y: 0.13, Z: -0.10 rad/s

Acceleration X: -1.72, Y: 1.72, Z: 9.10 m/s^2
Rotation X: 0.07, Y: 0.15, Z: -0.04 rad/s

Acceleration X: -0.98, Y: 1.05, Z: 8.50 m/s^2
Rotation X: 0.22, Y: 0.34, Z: -0.16 rad/s

Acceleration X: -1.25, Y: 1.04, Z: 7.63 m/s^2
Rotation X: 0.53, Y: 0.70, Z: -0.22 rad/s

Acceleration X: -1.31, Y: 1.89, Z: 7.07 m/s^2
Rotation X: 0.98, Y: 1.19, Z: -0.41 rad/s

Acceleration X: -3.04, Y: 2.13, Z: 5.75 m/s^2
Rotation X: 1.28, Y: 1.62, Z: -0.30 rad/s

Acceleration X: -2.69, Y: 3.26, Z: 5.88 m/s^2
Rotation X: 1.34, Y: 2.06, Z: 0.12 rad/s

Acceleration X: -5.26, Y: 4.67, Z: 4.96 m/s^2
Rotation X: 1.64, Y: 2.34, Z: 0.33 rad/s

Acceleration X: -6.11, Y: 2.96, Z: 2.42 m/s^2
Rotation X: 1.67, Y: 2.26, Z: -0.25 rad/s

Acceleration X: -7.03, Y: 6.33, Z: 3.46 m/s^2
Rotation X: 1.38, Y: 2.41, Z: 0.24 rad/s

Acceleration X: -8.46, Y: 5.21, Z: 0.86 m/s^2
Rotation X: 1.83, Y: 2.20, Z: -0.74 rad/s

Acceleration X: -6.52, Y: 5.99, Z: -0.56 m/s^2
Rotation X: 1.52, Y: 2.15, Z: 0.61 rad/s

Acceleration X: -7.21, Y: 4.91, Z: -2.46 m/s^2
Rotation X: 1.66, Y: 1.94, Z: 0.25 rad/s

Acceleration X: -6.45, Y: 5.34, Z: -2.79 m/s^2
Rotation X: 1.71, Y: 2.14, Z: 1.31 rad/s

Acceleration X: -8.86, Y: 6.17, Z: -5.97 m/s^2
Rotation X: 1.78, Y: 2.07, Z: -0.05 rad/s

Acceleration X: -7.34, Y: 8.19, Z: -5.84 m/s^2
Rotation X: 1.26, Y: 1.69, Z: 0.40 rad/s

Acceleration X: -6.90, Y: 6.70, Z: -6.34 m/s^2
Rotation X: 0.97, Y: 1.12, Z: 0.82 rad/s

Acceleration X: -5.51, Y: 7.41, Z: -5.99 m/s^2
Rotation X: 0.81, Y: 0.82, Z: 0.41 rad/s

Acceleration X: -5.67, Y: 5.77, Z: -6.26 m/s^2
Rotation X: 0.61, Y: 0.76, Z: 0.66 rad/s

Acceleration X: -4.61, Y: 6.03, Z: -6.98 m/s^2
Rotation X: 0.38, Y: 0.47, Z: 0.20 rad/s

Acceleration X: -4.53, Y: 5.21, Z: -7.27 m/s^2
Rotation X: 0.33, Y: 0.39, Z: 0.34 rad/s

Acceleration X: -3.92, Y: 5.19, Z: -7.18 m/s^2
Rotation X: 0.22, Y: 0.36, Z: 0.17 rad/s

Acceleration X: -3.63, Y: 5.05, Z: -7.51 m/s^2
Rotation X: 0.20, Y: 0.28, Z: 0.07 rad/s

Acceleration X: -3.38, Y: 4.87, Z: -7.53 m/s^2
Rotation X: 0.18, Y: 0.24, Z: 0.25 rad/s

Acceleration X: -3.40, Y: 4.72, Z: -7.72 m/s^2
Rotation X: 0.19, Y: 0.26, Z: 0.20 rad/s

Acceleration X: -3.18, Y: 4.65, Z: -7.83 m/s^2
Rotation X: 0.18, Y: 0.21, Z: 0.30 rad/s

Acceleration X: -3.28, Y: 4.67, Z: -7.94 m/s^2
Rotation X: 0.13, Y: 0.16, Z: 0.01 rad/s

Acceleration X: -3.16, Y: 4.91, Z: -7.89 m/s^2
Rotation X: 0.07, Y: 0.11, Z: 0.08 rad/s

Acceleration X: -2.90, Y: 4.89, Z: -7.92 m/s^2
Rotation X: 0.02, Y: 0.07, Z: 0.06 rad/s

Acceleration X: -2.89, Y: 4.71, Z: -7.95 m/s^2
Rotation X: -0.00, Y: 0.06, Z: 0.02 rad/s

Acceleration X: -2.92, Y: 4.60, Z: -8.02 m/s^2
Rotation X: -0.03, Y: 0.04, Z: 0.06 rad/s

Acceleration X: -2.85, Y: 4.59, Z: -8.07 m/s^2
Rotation X: -0.03, Y: 0.01, Z: 0.03 rad/s

Acceleration X: -2.77, Y: 4.38, Z: -8.12 m/s^2
Rotation X: -0.07, Y: -0.02, Z: 0.08 rad/s

Acceleration X: -2.78, Y: 4.47, Z: -7.98 m/s^2
Rotation X: -0.05, Y: -0.02, Z: 0.06 rad/s

Acceleration X: -2.92, Y: 4.57, Z: -8.04 m/s^2
Rotation X: -0.10, Y: -0.05, Z: -0.01 rad/s

Acceleration X: -3.48, Y: 5.26, Z: -7.87 m/s^2
Rotation X: -0.25, Y: -0.15, Z: -0.16 rad/s

Acceleration X: -3.81, Y: 5.39, Z: -8.06 m/s^2
Rotation X: -0.53, Y: -0.40, Z: -0.50 rad/s

Acceleration X: -4.60, Y: 6.22, Z: -7.47 m/s^2
Rotation X: -0.80, Y: -0.71, Z: -0.65 rad/s

Acceleration X: -5.16, Y: 6.22, Z: -7.75 m/s^2
Rotation X: -1.03, Y: -1.14, Z: -0.79 rad/s

Acceleration X: -5.82, Y: 6.56, Z: -6.51 m/s^2
Rotation X: -1.21, Y: -1.38, Z: -0.48 rad/s

Acceleration X: -6.19, Y: 6.45, Z: -6.53 m/s^2
Rotation X: -1.37, Y: -1.57, Z: -0.54 rad/s

Acceleration X: -6.65, Y: 6.34, Z: -5.25 m/s^2
Rotation X: -1.48, Y: -1.67, Z: -0.31 rad/s

Acceleration X: -6.83, Y: 6.29, Z: -4.28 m/s^2
Rotation X: -1.45, Y: -1.69, Z: -0.50 rad/s

Acceleration X: -7.10, Y: 6.03, Z: -3.77 m/s^2
Rotation X: -1.50, Y: -1.74, Z: -0.29 rad/s

Acceleration X: -7.15, Y: 5.81, Z: -2.49 m/s^2
Rotation X: -1.43, Y: -1.69, Z: -0.38 rad/s

Acceleration X: -7.33, Y: 5.80, Z: -1.40 m/s^2
Rotation X: -1.40, Y: -1.71, Z: -0.41 rad/s

Acceleration X: -7.20, Y: 5.88, Z: -0.26 m/s^2
Rotation X: -1.44, Y: -1.76, Z: -0.26 rad/s

Acceleration X: -7.01, Y: 5.29, Z: 0.80 m/s^2
Rotation X: -1.46, Y: -1.80, Z: -0.08 rad/s

Acceleration X: -6.45, Y: 4.68, Z: 2.20 m/s^2
Rotation X: -1.39, Y: -1.78, Z: -0.07 rad/s

Acceleration X: -6.23, Y: 5.02, Z: 3.32 m/s^2
Rotation X: -1.34, Y: -1.66, Z: 0.10 rad/s

Acceleration X: -5.42, Y: 4.57, Z: 3.93 m/s^2
Rotation X: -1.34, Y: -1.59, Z: 0.33 rad/s

Acceleration X: -5.28, Y: 4.12, Z: 4.84 m/s^2
Rotation X: -1.38, Y: -1.43, Z: 0.41 rad/s

Acceleration X: -4.69, Y: 3.41, Z: 6.11 m/s^2
Rotation X: -1.16, Y: -1.30, Z: -0.20 rad/s

Acceleration X: -4.29, Y: 3.51, Z: 6.84 m/s^2
Rotation X: -0.94, Y: -1.10, Z: -0.25 rad/s

Acceleration X: -3.55, Y: 2.80, Z: 7.03 m/s^2
Rotation X: -0.86, Y: -1.04, Z: -0.02 rad/s

Acceleration X: -3.34, Y: 2.39, Z: 7.67 m/s^2
Rotation X: -0.76, Y: -0.93, Z: 0.01 rad/s

Acceleration X: -3.15, Y: 2.07, Z: 7.80 m/s^2
Rotation X: -0.67, Y: -0.84, Z: -0.09 rad/s

Acceleration X: -2.39, Y: 1.98, Z: 8.14 m/s^2
Rotation X: -0.58, Y: -0.68, Z: -0.09 rad/s

Acceleration X: -2.01, Y: 2.12, Z: 8.59 m/s^2
Rotation X: -0.47, Y: -0.51, Z: 0.05 rad/s

Acceleration X: -2.45, Y: 1.78, Z: 8.88 m/s^2
Rotation X: -0.40, Y: -0.43, Z: 0.12 rad/s

Acceleration X: -2.08, Y: 1.50, Z: 9.01 m/s^2
Rotation X: -0.33, Y: -0.35, Z: 0.07 rad/s

Acceleration X: -1.76, Y: 1.16, Z: 9.16 m/s^2
Rotation X: -0.26, Y: -0.23, Z: 0.10 rad/s

Acceleration X: -1.73, Y: 0.87, Z: 9.14 m/s^2
Rotation X: -0.15, Y: -0.14, Z: -0.06 rad/s

Acceleration X: -1.80, Y: 1.89, Z: 9.32 m/s^2
Rotation X: -0.11, Y: -0.07, Z: -0.00 rad/s

Acceleration X: -2.02, Y: 1.47, Z: 9.38 m/s^2
Rotation X: -0.12, Y: -0.09, Z: -0.01 rad/s

Acceleration X: -1.56, Y: 0.88, Z: 9.23 m/s^2
Rotation X: -0.06, Y: -0.03, Z: 0.08 rad/s

Acceleration X: -0.97, Y: 0.78, Z: 8.84 m/s^2
Rotation X: 0.10, Y: 0.16, Z: -0.13 rad/s

Acceleration X: -0.74, Y: 0.71, Z: 8.47 m/s^2
Rotation X: 0.29, Y: 0.46, Z: -0.11 rad/s

Acceleration X: -1.04, Y: 1.04, Z: 7.76 m/s^2
Rotation X: 0.57, Y: 0.84, Z: -0.15 rad/s

Acceleration X: -1.49, Y: 1.28, Z: 7.47 m/s^2
Rotation X: 0.78, Y: 1.20, Z: 0.11 rad/s

Acceleration X: -2.85, Y: 2.50, Z: 6.53 m/s^2
Rotation X: 1.22, Y: 1.60, Z: 0.17 rad/s

Acceleration X: -3.40, Y: 2.10, Z: 5.00 m/s^2
Rotation X: 1.39, Y: 1.92, Z: 0.12 rad/s

Acceleration X: -5.53, Y: 4.84, Z: 6.16 m/s^2
Rotation X: 1.43, Y: 2.32, Z: 0.25 rad/s

Acceleration X: -6.84, Y: 4.59, Z: 5.16 m/s^2
Rotation X: 1.52, Y: 2.16, Z: 0.35 rad/s

Acceleration X: -7.66, Y: 5.22, Z: 3.09 m/s^2
Rotation X: 1.36, Y: 2.10, Z: -0.68 rad/s

Acceleration X: -7.80, Y: 5.87, Z: 2.74 m/s^2
Rotation X: 1.01, Y: 1.92, Z: -0.14 rad/s

Acceleration X: -7.37, Y: 5.75, Z: 2.07 m/s^2
Rotation X: 1.08, Y: 1.83, Z: 0.05 rad/s

Acceleration X: -7.38, Y: 5.25, Z: -0.19 m/s^2
Rotation X: 1.10, Y: 1.57, Z: 0.11 rad/s

Acceleration X: -7.64, Y: 5.57, Z: -0.21 m/s^2
Rotation X: 0.94, Y: 1.61, Z: 1.02 rad/s

Acceleration X: -7.22, Y: 5.71, Z: -2.32 m/s^2
Rotation X: 1.23, Y: 1.55, Z: -0.18 rad/s

Acceleration X: -7.76, Y: 5.14, Z: -3.29 m/s^2
Rotation X: 0.87, Y: 1.37, Z: 0.88 rad/s

Acceleration X: -6.91, Y: 7.05, Z: -3.32 m/s^2
Rotation X: 1.18, Y: 1.38, Z: -0.18 rad/s

Acceleration X: -7.43, Y: 6.16, Z: -4.69 m/s^2
Rotation X: 1.01, Y: 1.29, Z: 0.51 rad/s

Acceleration X: -7.24, Y: 7.40, Z: -4.09 m/s^2
Rotation X: 0.86, Y: 1.38, Z: 0.58 rad/s

Acceleration X: -5.63, Y: 5.63, Z: -5.86 m/s^2
Rotation X: 0.58, Y: 0.73, Z: 1.23 rad/s

Acceleration X: -5.21, Y: 5.48, Z: -5.75 m/s^2
Rotation X: 0.67, Y: 0.68, Z: 0.49 rad/s

Acceleration X: -4.48, Y: 6.15, Z: -6.20 m/s^2
Rotation X: 0.57, Y: 0.70, Z: 0.35 rad/s

Acceleration X: -4.18, Y: 5.85, Z: -6.53 m/s^2
Rotation X: 0.56, Y: 0.55, Z: 0.67 rad/s

Acceleration X: -4.10, Y: 5.64, Z: -7.25 m/s^2
Rotation X: 0.56, Y: 0.46, Z: 0.68 rad/s

Acceleration X: -3.95, Y: 5.71, Z: -7.30 m/s^2
Rotation X: 0.47, Y: 0.37, Z: 0.42 rad/s

Acceleration X: -3.74, Y: 5.70, Z: -7.23 m/s^2
Rotation X: 0.40, Y: 0.24, Z: 0.31 rad/s

Acceleration X: -3.74, Y: 5.84, Z: -7.29 m/s^2
Rotation X: 0.32, Y: 0.20, Z: 0.21 rad/s

Acceleration X: -3.54, Y: 5.46, Z: -7.52 m/s^2
Rotation X: 0.21, Y: 0.19, Z: 0.17 rad/s

Acceleration X: -3.30, Y: 5.50, Z: -7.47 m/s^2
Rotation X: 0.11, Y: 0.10, Z: -0.00 rad/s

Acceleration X: -3.02, Y: 5.33, Z: -7.47 m/s^2
Rotation X: 0.02, Y: 0.07, Z: 0.13 rad/s

Acceleration X: -2.82, Y: 5.20, Z: -7.75 m/s^2
Rotation X: -0.03, Y: 0.04, Z: 0.03 rad/s

Acceleration X: -2.93, Y: 5.11, Z: -7.73 m/s^2
Rotation X: -0.07, Y: 0.01, Z: 0.06 rad/s

Acceleration X: -2.87, Y: 5.23, Z: -7.69 m/s^2
Rotation X: -0.09, Y: -0.00, Z: -0.01 rad/s

Acceleration X: -2.90, Y: 4.97, Z: -7.78 m/s^2
Rotation X: -0.08, Y: -0.00, Z: 0.11 rad/s

Acceleration X: -2.79, Y: 4.95, Z: -7.72 m/s^2
Rotation X: -0.07, Y: -0.02, Z: 0.06 rad/s

Acceleration X: -2.76, Y: 4.85, Z: -7.90 m/s^2
Rotation X: -0.06, Y: -0.03, Z: 0.03 rad/s

Acceleration X: -2.71, Y: 5.17, Z: -7.72 m/s^2
Rotation X: -0.05, Y: -0.02, Z: 0.03 rad/s

Acceleration X: -2.73, Y: 5.08, Z: -7.74 m/s^2
Rotation X: -0.06, Y: -0.03, Z: 0.08 rad/s

Acceleration X: -2.76, Y: 5.13, Z: -7.73 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.78, Y: 5.15, Z: -7.72 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.71, Y: 5.10, Z: -7.65 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.04 rad/s

Acceleration X: -2.70, Y: 5.04, Z: -7.78 m/s^2
Rotation X: -0.08, Y: -0.02, Z: -0.02 rad/s

Acceleration X: -2.80, Y: 5.25, Z: -7.58 m/s^2
Rotation X: -0.09, Y: -0.03, Z: 0.00 rad/s

Acceleration X: -2.70, Y: 5.15, Z: -7.56 m/s^2
Rotation X: -0.13, Y: -0.06, Z: -0.12 rad/s

Acceleration X: -2.74, Y: 5.05, Z: -7.75 m/s^2
Rotation X: -0.11, Y: -0.05, Z: -0.02 rad/s

Acceleration X: -2.79, Y: 5.07, Z: -7.88 m/s^2
Rotation X: -0.07, Y: -0.03, Z: 0.06 rad/s

Acceleration X: -2.72, Y: 4.92, Z: -7.85 m/s^2
Rotation X: -0.06, Y: -0.03, Z: 0.04 rad/s

Acceleration X: -2.79, Y: 5.05, Z: -7.71 m/s^2
Rotation X: -0.05, Y: -0.00, Z: 0.06 rad/s

Acceleration X: -2.89, Y: 5.19, Z: -7.63 m/s^2
Rotation X: -0.03, Y: -0.00, Z: 0.04 rad/s

Acceleration X: -2.89, Y: 5.42, Z: -7.57 m/s^2
Rotation X: -0.05, Y: 0.00, Z: 0.00 rad/s

Acceleration X: -2.79, Y: 5.25, Z: -7.65 m/s^2
Rotation X: -0.08, Y: -0.04, Z: 0.10 rad/s

Acceleration X: -2.69, Y: 5.12, Z: -7.68 m/s^2
Rotation X: -0.09, Y: -0.02, Z: 0.07 rad/s

Acceleration X: -2.74, Y: 4.90, Z: -7.73 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.05 rad/s

Acceleration X: -2.75, Y: 4.96, Z: -7.67 m/s^2
Rotation X: -0.05, Y: -0.01, Z: -0.00 rad/s

Acceleration X: -2.68, Y: 5.07, Z: -7.65 m/s^2
Rotation X: -0.04, Y: -0.00, Z: -0.01 rad/s

Acceleration X: -2.76, Y: 5.16, Z: -7.68 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.79, Y: 5.24, Z: -7.67 m/s^2
Rotation X: -0.05, Y: -0.01, Z: -0.01 rad/s

Acceleration X: -2.77, Y: 5.24, Z: -7.63 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.05 rad/s

Acceleration X: -2.77, Y: 5.07, Z: -7.73 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.06 rad/s

Acceleration X: -2.72, Y: 5.11, Z: -7.70 m/s^2
Rotation X: -0.07, Y: -0.01, Z: -0.01 rad/s

Acceleration X: -2.71, Y: 5.14, Z: -7.60 m/s^2
Rotation X: -0.05, Y: 0.00, Z: 0.02 rad/s

Acceleration X: -2.70, Y: 5.14, Z: -7.70 m/s^2
Rotation X: -0.07, Y: -0.00, Z: 0.04 rad/s

Acceleration X: -2.77, Y: 5.13, Z: -7.64 m/s^2
Rotation X: -0.06, Y: -0.02, Z: 0.03 rad/s

Acceleration X: -2.76, Y: 5.02, Z: -7.69 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.06 rad/s

Acceleration X: -2.72, Y: 5.09, Z: -7.67 m/s^2
Rotation X: -0.05, Y: -0.02, Z: 0.05 rad/s

Acceleration X: -2.67, Y: 5.07, Z: -7.68 m/s^2
Rotation X: -0.07, Y: -0.00, Z: 0.00 rad/s

Acceleration X: -2.69, Y: 5.16, Z: -7.76 m/s^2
Rotation X: -0.05, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.76, Y: 5.11, Z: -7.66 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.03 rad/s

Acceleration X: -2.73, Y: 5.15, Z: -7.66 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.02 rad/s

Acceleration X: -2.64, Y: 5.13, Z: -7.68 m/s^2
Rotation X: -0.07, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.76, Y: 5.17, Z: -7.68 m/s^2
Rotation X: -0.05, Y: -0.01, Z: -0.02 rad/s

Acceleration X: -2.79, Y: 5.09, Z: -7.65 m/s^2
Rotation X: -0.06, Y: -0.01, Z: 0.01 rad/s

Acceleration X: -2.70, Y: 5.00, Z: -7.58 m/s^2
Rotation X: -0.04, Y: -0.03, Z: 0.00 rad/s

